scenario,method,replication,asset,asset_index,bump,bump_label,active_asset,runtime_seconds,pricing_seed,bridge_bank_seed,greek,estimate_raw,estimate_reported,reported_unit
near-KI,M0,3,asset_1,1,0.001,0.10% spot,True,0.13837130001047626,3029087189,242366888,Delta,129.16181403896186,0.9880878773980583,PV per 1% relative spot move
near-KI,M0,3,asset_1,1,0.001,0.10% spot,True,0.13837130001047626,3029087189,242366888,Gamma,-100769.86841961213,-5.897304624586751,PV per squared 1% relative spot move
near-KI,M0,3,asset_1,1,0.0025,0.25% spot,True,0.13629709993256256,3029087189,242366888,Delta,125.25808972253162,0.958224386377367,PV per 1% relative spot move
near-KI,M0,3,asset_1,1,0.0025,0.25% spot,True,0.13629709993256256,3029087189,242366888,Gamma,-32577.786323202403,-1.9065335000996126,PV per squared 1% relative spot move
near-KI,M0,3,asset_1,1,0.005,0.50% spot,True,0.12886390002677217,3029087189,242366888,Delta,116.58213605494177,0.8918533408203045,PV per 1% relative spot move
near-KI,M0,3,asset_1,1,0.005,0.50% spot,True,0.12886390002677217,3029087189,242366888,Gamma,-11262.324457966746,-0.6590993830913588,PV per squared 1% relative spot move
near-KI,M0,3,asset_1,1,0.01,1.00% spot,True,0.12557670002570376,3029087189,242366888,Delta,98.90253395130566,0.7566043847274883,PV per 1% relative spot move
near-KI,M0,3,asset_1,1,0.01,1.00% spot,True,0.12557670002570376,3029087189,242366888,Gamma,-2459.8233317554354,-0.14395501093265747,PV per squared 1% relative spot move
near-KI,M0,3,asset_2,2,0.001,0.10% spot,False,0.12852249993011355,3029087189,242366888,Delta,3.22022453880777,0.0322022453880777,PV per 1% relative spot move
near-KI,M0,3,asset_2,2,0.001,0.10% spot,False,0.12852249993011355,3029087189,242366888,Gamma,-103.11598350654094,-0.010311598350654094,PV per squared 1% relative spot move
near-KI,M0,3,asset_2,2,0.0025,0.25% spot,False,0.13160240004071966,3029087189,242366888,Delta,3.2265306114481973,0.03226530611448197,PV per 1% relative spot move
near-KI,M0,3,asset_2,2,0.0025,0.25% spot,False,0.13160240004071966,3029087189,242366888,Gamma,-46.29125151950575,-0.004629125151950575,PV per squared 1% relative spot move
near-KI,M0,3,asset_2,2,0.005,0.50% spot,False,0.13116739998804405,3029087189,242366888,Delta,3.2107271833694995,0.032107271833694995,PV per 1% relative spot move
near-KI,M0,3,asset_2,2,0.005,0.50% spot,False,0.13116739998804405,3029087189,242366888,Gamma,-34.34372047195211,-0.003434372047195211,PV per squared 1% relative spot move
near-KI,M0,3,asset_2,2,0.01,1.00% spot,False,0.14485949999652803,3029087189,242366888,Delta,3.207690664171281,0.03207690664171281,PV per 1% relative spot move
near-KI,M0,3,asset_2,2,0.01,1.00% spot,False,0.14485949999652803,3029087189,242366888,Gamma,-47.57953071461429,-0.004757953071461429,PV per squared 1% relative spot move
near-KI,M0,3,asset_3,3,0.001,0.10% spot,False,0.21724289999110624,3029087189,242366888,Delta,7.2488102060361825,0.07248810206036183,PV per 1% relative spot move
near-KI,M0,3,asset_3,3,0.001,0.10% spot,False,0.21724289999110624,3029087189,242366888,Gamma,7797.860213941021,0.7797860213941021,PV per squared 1% relative spot move
near-KI,M0,3,asset_3,3,0.0025,0.25% spot,False,0.16571199998725206,3029087189,242366888,Delta,4.8913029317390055,0.048913029317390055,PV per 1% relative spot move
near-KI,M0,3,asset_3,3,0.0025,0.25% spot,False,0.16571199998725206,3029087189,242366888,Gamma,1208.0957057673913,0.12080957057673913,PV per squared 1% relative spot move
near-KI,M0,3,asset_3,3,0.005,0.50% spot,False,0.11727099999552593,3029087189,242366888,Delta,4.10190759708513,0.041019075970851304,PV per 1% relative spot move
near-KI,M0,3,asset_3,3,0.005,0.50% spot,False,0.11727099999552593,3029087189,242366888,Gamma,270.1087165547733,0.02701087165547733,PV per squared 1% relative spot move
near-KI,M0,3,asset_3,3,0.01,1.00% spot,False,0.13526110001839697,3029087189,242366888,Delta,3.7299717050323977,0.03729971705032398,PV per 1% relative spot move
near-KI,M0,3,asset_3,3,0.01,1.00% spot,False,0.13526110001839697,3029087189,242366888,Gamma,31.420714586118947,0.0031420714586118947,PV per squared 1% relative spot move
near-KI,M0,3,parallel,0,0.001,0.10% parallel spot,False,0.16201879997970536,3029087189,242366888,Parallel Gamma,-51087.85384096848,-5.108785384096848,PV per squared 1% parallel relative spot move
near-KI,M0,3,parallel,0,0.0025,0.25% parallel spot,False,0.24891580000985414,3029087189,242366888,Parallel Gamma,-17756.57057965418,-1.775657057965418,PV per squared 1% parallel relative spot move
near-KI,M0,3,parallel,0,0.005,0.50% parallel spot,False,0.2819999000057578,3029087189,242366888,Parallel Gamma,-6226.637829394122,-0.6226637829394122,PV per squared 1% parallel relative spot move
near-KI,M0,3,parallel,0,0.01,1.00% parallel spot,False,0.17063080007210374,3029087189,242366888,Parallel Gamma,-1289.9978315195426,-0.12899978315195426,PV per squared 1% parallel relative spot move
near-KI,M0,3,asset_1,1,0.0025,0.25 vol points,True,0.1500765000237152,3029087189,242366888,Vega,-53.321129183675,-0.53321129183675,PV per 1 volatility point
near-KI,M0,3,asset_1,1,0.005,0.50 vol points,True,0.1435355999856256,3029087189,242366888,Vega,-49.48716682104504,-0.49487166821045037,PV per 1 volatility point
near-KI,M0,3,asset_1,1,0.01,1.00 vol points,True,0.14137540000956506,3029087189,242366888,Vega,-49.08481495520647,-0.4908481495520647,PV per 1 volatility point
near-KI,M0,3,asset_2,2,0.0025,0.25 vol points,False,0.13780329999281093,3029087189,242366888,Vega,-9.05047558800618,-0.0905047558800618,PV per 1 volatility point
near-KI,M0,3,asset_2,2,0.005,0.50 vol points,False,0.12603170005604625,3029087189,242366888,Vega,-8.947958062586281,-0.08947958062586281,PV per 1 volatility point
near-KI,M0,3,asset_2,2,0.01,1.00 vol points,False,0.12974370003212243,3029087189,242366888,Vega,-9.224047425211523,-0.09224047425211523,PV per 1 volatility point
near-KI,M0,3,asset_3,3,0.0025,0.25 vol points,False,0.1217923000222072,3029087189,242366888,Vega,-9.414844638158115,-0.09414844638158115,PV per 1 volatility point
near-KI,M0,3,asset_3,3,0.005,0.50 vol points,False,0.1304670000099577,3029087189,242366888,Vega,-8.662145543077315,-0.08662145543077315,PV per 1 volatility point
near-KI,M0,3,asset_3,3,0.01,1.00 vol points,False,0.16797569999471307,3029087189,242366888,Vega,-8.334600928989744,-0.08334600928989744,PV per 1 volatility point
near-KI,M0,3,parallel,0,0.0025,0.25 parallel vol points,False,0.12643519998528063,3029087189,242366888,Parallel Vega,-71.81823487971712,-0.7181823487971712,PV per 1 parallel volatility point
near-KI,M0,3,parallel,0,0.005,0.50 parallel vol points,False,0.12426499999128282,3029087189,242366888,Parallel Vega,-67.11047020070993,-0.6711047020070993,PV per 1 parallel volatility point
