scenario,method,replication,greek,asset,bump,direction,total_value,runtime_seconds,pricing_seed,bridge_bank_seed
near-KI,M0,2,Spot,asset_3,0.01,plus,83.87979613770115,0.06358430004911497,1594336259,242366888
near-KI,M0,2,ParallelSpot,parallel,0.001,minus,83.6346992956747,0.05759470001794398,1594336259,242366888
near-KI,M0,2,ParallelSpot,parallel,0.001,plus,83.94354550383939,0.0599252000101842,1594336259,242366888
near-KI,M0,2,ParallelSpot,parallel,0.0025,minus,83.46161138853424,0.06104080000659451,1594336259,242366888
near-KI,M0,2,ParallelSpot,parallel,0.0025,plus,84.08166148586353,0.05942170001799241,1594336259,242366888
near-KI,M0,2,ParallelSpot,parallel,0.005,minus,83.19529001639884,0.06428030005190521,1594336259,242366888
near-KI,M0,2,ParallelSpot,parallel,0.005,plus,84.36680293302955,0.06289179995656013,1594336259,242366888
near-KI,M0,2,ParallelSpot,parallel,0.01,minus,82.79812252588738,0.06578970002010465,1594336259,242366888
near-KI,M0,2,ParallelSpot,parallel,0.01,plus,84.83594209123558,0.05878959997789934,1594336259,242366888
near-KI,M0,2,Volatility,asset_1,0.0025,minus,83.80065513265284,0.056011400010902435,1594336259,242366888
near-KI,M0,2,Volatility,asset_1,0.0025,plus,83.63558127963057,0.0585232000448741,1594336259,242366888
near-KI,M0,2,Volatility,asset_1,0.005,minus,83.88241461692935,0.0658891000202857,1594336259,242366888
near-KI,M0,2,Volatility,asset_1,0.005,plus,83.5341162499538,0.06330020003952086,1594336259,242366888
near-KI,M0,2,Volatility,asset_1,0.01,minus,84.13354422107173,0.0633617999847047,1594336259,242366888
near-KI,M0,2,Volatility,asset_1,0.01,plus,83.37790610896802,0.05824640003265813,1594336259,242366888
near-KI,M0,2,Volatility,asset_2,0.0025,minus,83.82011346759958,0.07013219996588305,1594336259,242366888
near-KI,M0,2,Volatility,asset_2,0.0025,plus,83.77503029754928,0.06489999999757856,1594336259,242366888
near-KI,M0,2,Volatility,asset_2,0.005,minus,83.8416305370335,0.0612834999919869,1594336259,242366888
near-KI,M0,2,Volatility,asset_2,0.005,plus,83.75013332114005,0.06508530001156032,1594336259,242366888
near-KI,M0,2,Volatility,asset_2,0.01,minus,83.88263335385062,0.06090740003855899,1594336259,242366888
near-KI,M0,2,Volatility,asset_2,0.01,plus,83.69338167814121,0.05911939998622984,1594336259,242366888
near-KI,M0,2,Volatility,asset_3,0.0025,minus,83.8231119102009,0.05667979997815564,1594336259,242366888
near-KI,M0,2,Volatility,asset_3,0.0025,plus,83.78427174796383,0.053507300035562366,1594336259,242366888
near-KI,M0,2,Volatility,asset_3,0.005,minus,83.87914046241407,0.054606700025033206,1594336259,242366888
near-KI,M0,2,Volatility,asset_3,0.005,plus,83.76943348648109,0.057823399954941124,1594336259,242366888
near-KI,M0,2,Volatility,asset_3,0.01,minus,83.90192981512538,0.05436909996205941,1594336259,242366888
near-KI,M0,2,Volatility,asset_3,0.01,plus,83.72745576892636,0.05255890003172681,1594336259,242366888
near-KI,M0,2,ParallelVolatility,parallel,0.0025,minus,83.84905814932299,0.05967799999052659,1594336259,242366888
near-KI,M0,2,ParallelVolatility,parallel,0.0025,plus,83.6003522971905,0.05896029999712482,1594336259,242366888
near-KI,M0,2,ParallelVolatility,parallel,0.005,minus,84.01263426439844,0.0600480999564752,1594336259,242366888
near-KI,M0,2,ParallelVolatility,parallel,0.005,plus,83.46430160943703,0.054273600049782544,1594336259,242366888
near-KI,M0,2,ParallelVolatility,parallel,0.01,minus,84.33390949847048,0.05399099999340251,1594336259,242366888
near-KI,M0,2,ParallelVolatility,parallel,0.01,plus,83.2234355562635,0.06487390003167093,1594336259,242366888
near-KI,M0,3,Base,base,0.0,base,82.10204960521706,0.06340430001728237,3029087189,242366888
near-KI,M0,3,Spot,asset_1,0.001,minus,81.97375429435432,0.06395619997056201,3029087189,242366888
near-KI,M0,3,Spot,asset_1,0.001,plus,82.17137186983393,0.07441510003991425,3029087189,242366888
near-KI,M0,3,Spot,asset_1,0.0025,minus,81.8029143367446,0.0736320999567397,3029087189,242366888
near-KI,M0,3,Spot,asset_1,0.0025,plus,82.28202652993329,0.06266499997582287,3029087189,242366888
near-KI,M0,3,Spot,asset_1,0.005,minus,81.57373551192049,0.06330240005627275,3029087189,242366888
near-KI,M0,3,Spot,asset_1,0.005,plus,82.4655888527408,0.06556149997049943,3029087189,242366888
near-KI,M0,3,Spot,asset_1,0.01,minus,81.27346771502324,0.06293930002721027,3029087189,242366888
near-KI,M0,3,Spot,asset_1,0.01,plus,82.78667648447822,0.06263739999849349,3029087189,242366888
near-KI,M0,3,Spot,asset_2,0.001,minus,82.0987778226865,0.06949769996572286,3029087189,242366888
near-KI,M0,3,Spot,asset_2,0.001,plus,82.10521827176412,0.059024799964390695,3029087189,242366888
near-KI,M0,3,Spot,asset_2,0.0025,minus,82.09383861852744,0.06363940000301227,3029087189,242366888
near-KI,M0,3,Spot,asset_2,0.0025,plus,82.10997127158468,0.06796300003770739,3029087189,242366888
near-KI,M0,3,Spot,asset_2,0.005,minus,82.08556667279431,0.06487169995671138,3029087189,242366888
near-KI,M0,3,Spot,asset_2,0.005,plus,82.11767394462801,0.06629570003133267,3029087189,242366888
near-KI,M0,3,Spot,asset_2,0.01,minus,82.06759372203962,0.0763745000003837,3029087189,242366888
near-KI,M0,3,Spot,asset_2,0.01,plus,82.13174753532304,0.06848499999614432,3029087189,242366888
near-KI,M0,3,Spot,asset_3,0.001,minus,82.098699725118,0.09098570002242923,3029087189,242366888
near-KI,M0,3,Spot,asset_3,0.001,plus,82.11319734553007,0.12625719996867701,3029087189,242366888
near-KI,M0,3,Spot,asset_3,0.0025,minus,82.09359664696824,0.09151009999914095,3029087189,242366888
near-KI,M0,3,Spot,asset_3,0.0025,plus,82.11805316162693,0.07420189998811111,3029087189,242366888
near-KI,M0,3,Spot,asset_3,0.005,minus,82.08491642618857,0.053701600001659244,3029087189,242366888
near-KI,M0,3,Spot,asset_3,0.005,plus,82.12593550215942,0.06356939999386668,3029087189,242366888
near-KI,M0,3,Spot,asset_3,0.01,minus,82.06632092389604,0.06815850001294166,3029087189,242366888
near-KI,M0,3,Spot,asset_3,0.01,plus,82.14092035799669,0.06710260000545532,3029087189,242366888
near-KI,M0,3,ParallelSpot,parallel,0.001,minus,81.96715458010472,0.06326009996701032,3029087189,242366888
near-KI,M0,3,ParallelSpot,parallel,0.001,plus,82.18585677648844,0.09875870001269504,3029087189,242366888
near-KI,M0,3,ParallelSpot,parallel,0.0025,minus,81.78652673651348,0.10839269997086376,3029087189,242366888
