Method,Barrier ratio,Replication,Spot bump,Gamma
Conditioned MC,0.85,15,0.0025,0.020469666324828495
Conditioned MC,0.85,15,0.005,0.020031031940007438
Conditioned MC,0.85,15,0.01,0.019842158282775912
Direct MC,0.95,15,0.001,1.7123454145449022
Direct MC,0.95,15,0.0025,0.6252263376897815
Direct MC,0.95,15,0.005,0.29796058824412697
Direct MC,0.95,15,0.01,0.09005204680265066
Conditioned MC,0.95,15,0.001,0.014927427608402152
Conditioned MC,0.95,15,0.0025,0.01483250420231741
Conditioned MC,0.95,15,0.005,0.014832395900086226
Conditioned MC,0.95,15,0.01,0.014945926583189717
Direct MC,0.7,16,0.001,0.016649822612535555
Direct MC,0.7,16,0.0025,0.01837100270819292
Direct MC,0.7,16,0.005,0.01897196897306941
Direct MC,0.7,16,0.01,0.02010404136516719
Conditioned MC,0.7,16,0.001,0.01642476562988548
Conditioned MC,0.7,16,0.0025,0.018388076051451208
Conditioned MC,0.7,16,0.005,0.019089996153482502
Conditioned MC,0.7,16,0.01,0.020170625839526224
Direct MC,0.85,16,0.001,-0.018693809112235723
Direct MC,0.85,16,0.0025,0.06681646884234738
Direct MC,0.85,16,0.005,0.024351452317972644
Direct MC,0.85,16,0.01,0.015177434138534451
Conditioned MC,0.85,16,0.001,0.016495870802124554
Conditioned MC,0.85,16,0.0025,0.01734801878464509
Conditioned MC,0.85,16,0.005,0.01744935856224572
Conditioned MC,0.85,16,0.01,0.0178475872455639
Direct MC,0.95,16,0.001,0.6038557348020389
Direct MC,0.95,16,0.0025,0.6224619173741957
Direct MC,0.95,16,0.005,0.11594067053738755
Direct MC,0.95,16,0.01,0.005067992800513288
Conditioned MC,0.95,16,0.001,0.012992844452863748
Conditioned MC,0.95,16,0.0025,0.013102547077735949
Conditioned MC,0.95,16,0.005,0.01322168574397864
Conditioned MC,0.95,16,0.01,0.01341231005725696
Direct MC,0.7,17,0.001,0.019412123571882486
Direct MC,0.7,17,0.0025,0.018907179787674977
Direct MC,0.7,17,0.005,0.020382761112031744
Direct MC,0.7,17,0.01,0.021082857473324168
Conditioned MC,0.7,17,0.001,0.01908979990492554
Conditioned MC,0.7,17,0.0025,0.01884354717088854
Conditioned MC,0.7,17,0.005,0.020259093854562593
Conditioned MC,0.7,17,0.01,0.021023574631081843
Direct MC,0.85,17,0.001,-0.3466433076452446
Direct MC,0.85,17,0.0025,-0.08463367596914395
Direct MC,0.85,17,0.005,0.005578189705673253
Direct MC,0.85,17,0.01,0.013301555175406321
Conditioned MC,0.85,17,0.001,0.0189820924498818
Conditioned MC,0.85,17,0.0025,0.019205573106148677
