Method,Sampling,Treatment,Barrier ratio,Replication,Seed / scramble,Price,Runtime seconds
Conditioned RQMC,RQMC,Conditioned,0.85,10,30260739,8.554601625695588,0.5856528999865986
Direct RQMC,RQMC,Direct,0.95,10,30260739,6.638484883706895,0.08089370001107454
Conditioned RQMC,RQMC,Conditioned,0.95,10,30260739,6.6227944092977555,0.570092800015118
Direct RQMC,RQMC,Direct,0.7,11,30260740,8.679740655132672,0.0724534000037238
Conditioned RQMC,RQMC,Conditioned,0.7,11,30260740,8.679778775811156,0.5710493999649771
Direct RQMC,RQMC,Direct,0.85,11,30260740,8.560593025445653,0.07498309999937192
Conditioned RQMC,RQMC,Conditioned,0.85,11,30260740,8.565827016825555,0.5540457000024617
Direct RQMC,RQMC,Direct,0.95,11,30260740,6.63928450633965,0.07447940000565723
Conditioned RQMC,RQMC,Conditioned,0.95,11,30260740,6.626596711291489,0.5296845000120811
Direct RQMC,RQMC,Direct,0.7,12,30260741,8.697482319766424,0.07013529998948798
Conditioned RQMC,RQMC,Conditioned,0.7,12,30260741,8.697464092000331,0.5709818999748677
Direct RQMC,RQMC,Direct,0.85,12,30260741,8.579257276856401,0.07577039999887347
Conditioned RQMC,RQMC,Conditioned,0.85,12,30260741,8.56651478681153,0.5542200999916531
Direct RQMC,RQMC,Direct,0.95,12,30260741,6.58893929519926,0.07537069998215884
Conditioned RQMC,RQMC,Conditioned,0.95,12,30260741,6.621234866787474,0.5273457000148483
Direct RQMC,RQMC,Direct,0.7,13,30260742,8.700013189942212,0.07231920002959669
Conditioned RQMC,RQMC,Conditioned,0.7,13,30260742,8.699919891477833,0.5462712000007741
Direct RQMC,RQMC,Direct,0.85,13,30260742,8.56601285349325,0.07773610000731423
Conditioned RQMC,RQMC,Conditioned,0.85,13,30260742,8.575956309413955,0.5726087000221014
Direct RQMC,RQMC,Direct,0.95,13,30260742,6.602804128992405,0.08150600001681596
Conditioned RQMC,RQMC,Conditioned,0.95,13,30260742,6.623061224800373,0.5701009999611415
Direct RQMC,RQMC,Direct,0.7,14,30260743,8.672413491679745,0.07114160002674907
Conditioned RQMC,RQMC,Conditioned,0.7,14,30260743,8.673386487776565,0.5370872000348754
Direct RQMC,RQMC,Direct,0.85,14,30260743,8.541636443892019,0.07440799998585135
Conditioned RQMC,RQMC,Conditioned,0.85,14,30260743,8.55253226548504,0.5426789000048302
Direct RQMC,RQMC,Direct,0.95,14,30260743,6.602588992964759,0.0797203000402078
Conditioned RQMC,RQMC,Conditioned,0.95,14,30260743,6.625570464265726,0.5528220999985933
Direct RQMC,RQMC,Direct,0.7,15,30260744,8.696782304879944,0.0779014999861829
Conditioned RQMC,RQMC,Conditioned,0.7,15,30260744,8.696903534701969,0.5950089999823831
Direct RQMC,RQMC,Direct,0.85,15,30260744,8.57463761678831,0.07138770003803074
Conditioned RQMC,RQMC,Conditioned,0.85,15,30260744,8.564409044895376,0.5644121000077575
Direct RQMC,RQMC,Direct,0.95,15,30260744,6.633580721928916,0.08217639999929816
Conditioned RQMC,RQMC,Conditioned,0.95,15,30260744,6.627341499067118,0.595919799990952
Direct RQMC,RQMC,Direct,0.7,16,30260745,8.681485415590624,0.08451559999957681
Conditioned RQMC,RQMC,Conditioned,0.7,16,30260745,8.681410565015796,0.583564699976705
Direct RQMC,RQMC,Direct,0.85,16,30260745,8.547376454872209,0.08282459998736158
Conditioned RQMC,RQMC,Conditioned,0.85,16,30260745,8.559296161718699,0.5813413999858312
Direct RQMC,RQMC,Direct,0.95,16,30260745,6.656609507704451,0.10543400002643466
Conditioned RQMC,RQMC,Conditioned,0.95,16,30260745,6.624746967236834,0.5597153000417165
Direct RQMC,RQMC,Direct,0.7,17,30260746,8.699047902819807,0.07746770000085235
Conditioned RQMC,RQMC,Conditioned,0.7,17,30260746,8.69906916484802,0.5651266000350006
Direct RQMC,RQMC,Direct,0.85,17,30260746,8.5731084575695,0.08961980004096404
Conditioned RQMC,RQMC,Conditioned,0.85,17,30260746,8.574061382634218,0.583321500045713
Direct RQMC,RQMC,Direct,0.95,17,30260746,6.618925951128989,0.08434810000471771
Conditioned RQMC,RQMC,Conditioned,0.95,17,30260746,6.6309050398731415,0.5582096999860369
Direct RQMC,RQMC,Direct,0.7,18,30260747,8.696738113031413,0.07580819999566302
Conditioned RQMC,RQMC,Conditioned,0.7,18,30260747,8.696585827327326,0.594715700019151
Direct RQMC,RQMC,Direct,0.85,18,30260747,8.564273013580474,0.08627100003650412
Conditioned RQMC,RQMC,Conditioned,0.85,18,30260747,8.567318753985804,0.61044670001138
Direct RQMC,RQMC,Direct,0.95,18,30260747,6.602825368081058,0.07994710002094507
Conditioned RQMC,RQMC,Conditioned,0.95,18,30260747,6.622320309207663,0.5550566000165418
Direct RQMC,RQMC,Direct,0.7,19,30260748,8.696221756655483,0.07493800000520423
Conditioned RQMC,RQMC,Conditioned,0.7,19,30260748,8.69628899508106,0.6130174999707378
Direct RQMC,RQMC,Direct,0.85,19,30260748,8.570262305993142,0.07697490003192797
Conditioned RQMC,RQMC,Conditioned,0.85,19,30260748,8.573143931842134,0.5684698999975808
Direct RQMC,RQMC,Direct,0.95,19,30260748,6.6627057879995535,0.08304160000989214
Conditioned RQMC,RQMC,Conditioned,0.95,19,30260748,6.6311495986150515,0.5478761999984272
Direct RQMC,RQMC,Direct,0.7,20,30260749,8.692443394961122,0.07911150000290945
Conditioned RQMC,RQMC,Conditioned,0.7,20,30260749,8.692285725789004,0.5669893000158481
Direct RQMC,RQMC,Direct,0.85,20,30260749,8.561232598379116,0.07807280000997707
Conditioned RQMC,RQMC,Conditioned,0.85,20,30260749,8.564788357282,0.5859540999517776
Direct RQMC,RQMC,Direct,0.95,20,30260749,6.5990221468563455,0.08816849999129772
Conditioned RQMC,RQMC,Conditioned,0.95,20,30260749,6.627337068926139,0.5762446000007913
Direct RQMC,RQMC,Direct,0.7,21,30260750,8.686709837518308,0.08633109997026622
Conditioned RQMC,RQMC,Conditioned,0.7,21,30260750,8.686898123464934,0.607873999979347
Direct RQMC,RQMC,Direct,0.85,21,30260750,8.56104465611039,0.07619400002295151
Conditioned RQMC,RQMC,Conditioned,0.85,21,30260750,8.567109841986534,0.5844883999670856
Direct RQMC,RQMC,Direct,0.95,21,30260750,6.604484629531049,0.08150580001529306
Conditioned RQMC,RQMC,Conditioned,0.95,21,30260750,6.633517259737631,0.5481885999906808
Direct RQMC,RQMC,Direct,0.7,22,30260751,8.687555174291072,0.07679000002099201
Conditioned RQMC,RQMC,Conditioned,0.7,22,30260751,8.687323090302163,0.5703675000113435
Direct RQMC,RQMC,Direct,0.85,22,30260751,8.546135018491176,0.07664570002816617
Conditioned RQMC,RQMC,Conditioned,0.85,22,30260751,8.563759442674494,0.5828319000429474
Direct RQMC,RQMC,Direct,0.95,22,30260751,6.623379480741994,0.08598409994738176
Conditioned RQMC,RQMC,Conditioned,0.95,22,30260751,6.624902864026208,0.5948833000147715
Direct RQMC,RQMC,Direct,0.7,23,30260752,8.70809089691756,0.08338269998785108
Conditioned RQMC,RQMC,Conditioned,0.7,23,30260752,8.70819001099685,0.6120629999786615
Direct RQMC,RQMC,Direct,0.85,23,30260752,8.585047993788791,0.08262240001931787
Conditioned RQMC,RQMC,Conditioned,0.85,23,30260752,8.579723120313348,0.6040104999556206
Direct RQMC,RQMC,Direct,0.95,23,30260752,6.626068053014429,0.07880419999128208
Conditioned RQMC,RQMC,Conditioned,0.95,23,30260752,6.633089453943867,0.5470594000071287
