Method,Barrier ratio,Replication,Spot bump,Delta
Direct MC,0.7,15,0.001,0.5972536724864508
Direct MC,0.7,15,0.0025,0.5970062772140672
Direct MC,0.7,15,0.005,0.5970365206385466
Direct MC,0.7,15,0.01,0.5968632201366986
Conditioned MC,0.7,15,0.001,0.5972814982590791
Conditioned MC,0.7,15,0.0025,0.5970232291680304
Conditioned MC,0.7,15,0.005,0.5970537700045089
Conditioned MC,0.7,15,0.01,0.5968713351307766
Direct MC,0.85,15,0.001,0.6123392110806147
Direct MC,0.85,15,0.0025,0.609099504059003
Direct MC,0.85,15,0.005,0.6107286102354657
Direct MC,0.85,15,0.01,0.6133560989926767
Conditioned MC,0.85,15,0.001,0.6147841080020022
Conditioned MC,0.85,15,0.0025,0.6146543686110597
Conditioned MC,0.85,15,0.005,0.6145879718954816
Conditioned MC,0.85,15,0.01,0.6145990169797502
Direct MC,0.95,15,0.001,0.7834068424880014
Direct MC,0.95,15,0.0025,0.7819953250060614
Direct MC,0.95,15,0.005,0.7883701252324924
Direct MC,0.95,15,0.01,0.7910052670093375
Conditioned MC,0.95,15,0.001,0.7865659697307015
Conditioned MC,0.95,15,0.0025,0.786491873783751
Conditioned MC,0.95,15,0.005,0.7863089672977654
Conditioned MC,0.95,15,0.01,0.7856532988143492
Direct MC,0.7,16,0.001,0.5961421797781519
Direct MC,0.7,16,0.0025,0.5961155340415587
Direct MC,0.7,16,0.005,0.5959590415281877
Direct MC,0.7,16,0.01,0.5959289975461077
Conditioned MC,0.7,16,0.001,0.5960697987142272
Conditioned MC,0.7,16,0.0025,0.596050414598345
Conditioned MC,0.7,16,0.005,0.5959233524262473
Conditioned MC,0.7,16,0.01,0.5958905094316389
Direct MC,0.85,16,0.001,0.5855209468591305
Direct MC,0.85,16,0.0025,0.6121197245073766
Direct MC,0.85,16,0.005,0.6128355589830541
Direct MC,0.85,16,0.01,0.6133608980044345
Conditioned MC,0.85,16,0.001,0.6154761817448762
Conditioned MC,0.85,16,0.0025,0.6155731874075947
Conditioned MC,0.85,16,0.005,0.6155870338183078
Conditioned MC,0.85,16,0.01,0.6157004632726126
Direct MC,0.95,16,0.001,0.8949445003259715
Direct MC,0.95,16,0.0025,0.8244807196432777
Direct MC,0.95,16,0.005,0.8108022563143686
Direct MC,0.95,16,0.01,0.8018601844841586
Conditioned MC,0.95,16,0.001,0.8049929157883673
Conditioned MC,0.95,16,0.0025,0.8049559436683911
Conditioned MC,0.95,16,0.005,0.8048015968324584
Conditioned MC,0.95,16,0.01,0.8040876611419172
Direct MC,0.7,17,0.001,0.6016502841245064
Direct MC,0.7,17,0.0025,0.6017753653380424
Direct MC,0.7,17,0.005,0.6019026193338171
Direct MC,0.7,17,0.01,0.6013768314113523
Conditioned MC,0.7,17,0.001,0.6016198844666665
Conditioned MC,0.7,17,0.0025,0.6017659924022354
Conditioned MC,0.7,17,0.005,0.601918477549372
Conditioned MC,0.7,17,0.01,0.6013954795401384
Direct MC,0.85,17,0.001,0.6241490533011973
Direct MC,0.85,17,0.0025,0.6245402552461456
Direct MC,0.85,17,0.005,0.6211071923778846
Direct MC,0.85,17,0.01,0.6213711096193233
Conditioned MC,0.85,17,0.001,0.6215014067828317
Conditioned MC,0.85,17,0.0025,0.6215491819717656
Conditioned MC,0.85,17,0.005,0.6214747580798576
Conditioned MC,0.85,17,0.01,0.621166944985041
Direct MC,0.95,17,0.001,0.7801973303994014
Direct MC,0.95,17,0.0025,0.7943470560515031
Direct MC,0.95,17,0.005,0.7980319922327404
Direct MC,0.95,17,0.01,0.8023182476776793
