sampling,method,monitoring_steps,sample_size,mean_price,replication_sd,mean_runtime_seconds,se_of_mean,bias_vs_analytic,rmse_vs_analytic
RQMC,Conditional weight,104,4096,4.895650981186376,0.06868463944350875,0.12225777501589619,0.034342319721754375,-0.020758613545742932,0.06300083180367613
RQMC,Conditional weight,104,16384,4.908801845557279,0.043682122880027645,0.44439512499957345,0.021841061440013822,-0.007607749174840528,0.038587222522315216
RQMC,Conditional weight,104,65536,4.9079863194238165,0.01878027548029379,1.7192055250052363,0.009390137740146895,-0.008423275308302891,0.018315993755629492
RQMC,Conditional weight,252,1024,4.996738422317137,0.12404849336439565,0.09695492501487024,0.062024246682197824,0.08032882758501803,0.13414075469694495
RQMC,Conditional weight,252,4096,4.942729011173174,0.0510175549245236,0.2889534500136506,0.0255087774622618,0.026319416441054955,0.05142766633491442
RQMC,Conditional weight,252,16384,4.913027144871361,0.036561094659462806,1.0411255999933928,0.018280547329731403,-0.0033824498607586406,0.031842992935403935
RQMC,Conditional weight,252,65536,4.911001355979559,0.019979160609956866,4.10600157501176,0.009989580304978433,-0.005408238752560024,0.018127994660566703
RQMC,Conditional weight,504,1024,4.865491157622402,0.2834955781898376,0.19115037497249432,0.1417477890949188,-0.05091843710971755,0.250738896818162
RQMC,Conditional weight,504,4096,4.822117679189631,0.09499383741724693,0.5640102500037756,0.047496918708623465,-0.09429191554248817,0.12513527559050808
RQMC,Conditional weight,504,16384,4.888216379758735,0.033356863805951785,2.087114774971269,0.016678431902975892,-0.028193214973384784,0.04036542632949803
RQMC,Conditional weight,504,65536,4.915367717234004,0.008332540319290458,8.179635249980493,0.004166270159645229,-0.0010418774981157952,0.00729101706557655
RQMC,Direct,12,1024,6.63089946725035,0.18773917036205548,0.012341700028628111,0.09386958518102774,1.7144898725182305,1.7221817616133765
RQMC,Direct,12,4096,6.624481153475306,0.05979131339413305,0.023556275002192706,0.029895656697066526,1.7080715587431863,1.7088562551178565
RQMC,Direct,12,16384,6.643643488376661,0.02513862901564791,0.06507937499554828,0.012569314507823955,1.7272338936445415,1.727371091096546
RQMC,Direct,12,65536,6.62864307027373,0.010150012517442315,0.22298837499693036,0.005075006258721157,1.7122334755416109,1.7122560386317465
RQMC,Direct,24,1024,6.17816676450029,0.1346469724858237,0.00939630001084879,0.06732348624291185,1.2617571697681704,1.2671339751032968
