method,replication,greek,bump,estimate,analytic_fd,error_vs_analytic
Bernoulli bridge,6,Gamma,0.01,-0.08137611272152867,-0.009384048060720573,-0.0719920646608081
Bernoulli bridge,6,Delta,0.02,0.9461049354949882,0.9533291555456804,-0.007224220050692232
Bernoulli bridge,6,Gamma,0.02,-0.018751736086866533,-0.009421480644813407,-0.009330255442053126
Bernoulli bridge,6,Vega per vol point,0.0025,-0.005459470835944558,0.017063382381117265,-0.022522853217061822
Bernoulli bridge,6,Vega per vol point,0.005,-0.0013349916031941689,0.01708216570558463,-0.018417157308778798
Bernoulli bridge,6,Vega per vol point,0.01,0.018887235391849444,0.01715752906885548,0.0017297063229939624
Conditional weight,6,Delta,0.001,0.9522177255962738,0.9522425621447539,-2.4836548480067222e-05
Conditional weight,6,Gamma,0.001,0.021230263473626106,-0.009371690172343959,0.030601953645970063
Conditional weight,6,Delta,0.0025,0.9534682733437503,0.9522568488218823,0.0012114245218679542
Conditional weight,6,Gamma,0.0025,0.028903408644637807,-0.009372345575741292,0.0382757542203791
Conditional weight,6,Delta,0.005,0.9554582848909332,0.9523078749804235,0.003150409910509744
Conditional weight,6,Gamma,0.005,0.02595031767203082,-0.009374686255810616,0.035325003927841436
Conditional weight,6,Delta,0.01,0.9551196077033337,0.9525120157151026,0.0026075919882311283
Conditional weight,6,Gamma,0.01,0.02163465731475256,-0.009384048060720573,0.031018705375473132
Conditional weight,6,Delta,0.02,0.9537579821117083,0.9533291555456804,0.000428826566027829
Conditional weight,6,Gamma,0.02,0.0030331664430632843,-0.009421480644813407,0.012454647087876691
Conditional weight,6,Vega per vol point,0.0025,0.015118727528347975,0.017063382381117265,-0.0019446548527692897
Conditional weight,6,Vega per vol point,0.005,0.015008979941371514,0.01708216570558463,-0.0020731857642131146
Conditional weight,6,Vega per vol point,0.01,0.01473875005425107,0.01715752906885548,-0.002418779014604411
Direct,7,Delta,0.001,0.8432885064144768,0.9522425621447539,-0.10895405573027706
Direct,7,Gamma,0.001,0.13674461759221043,-0.009371690172343959,0.1461163077645544
Direct,7,Delta,0.0025,0.9229424568624065,0.9522568488218823,-0.029314391959475827
Direct,7,Gamma,0.0025,0.049942722809717566,-0.009372345575741292,0.05931506838545886
Direct,7,Delta,0.005,0.8823942173933794,0.9523078749804235,-0.06991365758704404
Direct,7,Gamma,0.005,-0.061910574028999577,-0.009374686255810616,-0.05253588777318896
Direct,7,Delta,0.01,0.8980608849177183,0.9525120157151026,-0.054451130797384284
Direct,7,Gamma,0.01,-0.07413239333660204,-0.009384048060720573,-0.06474834527588147
Direct,7,Delta,0.02,0.8887460418583162,0.9533291555456804,-0.06458311368736425
Direct,7,Gamma,0.02,-0.021307082326962767,-0.009421480644813407,-0.01188560168214936
Direct,7,Vega per vol point,0.0025,0.11047083826791315,0.017063382381117265,0.09340745588679589
Direct,7,Vega per vol point,0.005,0.09117326201667186,0.01708216570558463,0.07409109631108723
Direct,7,Vega per vol point,0.01,0.08744329967442832,0.01715752906885548,0.07028577060557284
Bernoulli bridge,7,Delta,0.001,0.9795516894231371,0.9522425621447539,0.027309127278383194
Bernoulli bridge,7,Gamma,0.001,3.980850682189451,-0.009371690172343959,3.990222372361795
Bernoulli bridge,7,Delta,0.0025,0.9060377430365225,0.9522568488218823,-0.046219105785359815
Bernoulli bridge,7,Gamma,0.0025,0.9177171720201756,-0.009372345575741292,0.9270895175959168
Bernoulli bridge,7,Delta,0.005,0.9245451742686166,0.9523078749804235,-0.027762700711806865
Bernoulli bridge,7,Gamma,0.005,0.28853019987466766,-0.009374686255810616,0.2979048861304783
