sampling,method,monitoring_steps,sample_size,estimate,runtime_seconds,replication,seed,error_vs_analytic
MC,Bernoulli bridge,52,65536,4.897872697312181,0.5581637000432238,1,20312805,-0.01853689741993847
MC,Conditional weight,52,65536,4.88802236815639,0.5581637000432238,1,20312805,-0.02838722657572923
MC,Direct,52,1024,5.477420968120917,0.008649200084619224,2,20312806,0.5610113733887978
MC,Bernoulli bridge,52,1024,4.659234962517173,0.008649200084619224,2,20312806,-0.2571746322149462
MC,Conditional weight,52,1024,4.552770277179723,0.008649200084619224,2,20312806,-0.363639317552396
MC,Direct,52,4096,5.758734228679219,0.03587270004209131,2,20312806,0.8423246339470998
MC,Bernoulli bridge,52,4096,4.972092204323692,0.03587270004209131,2,20312806,0.055682609591572785
MC,Conditional weight,52,4096,4.923885562429385,0.03587270004209131,2,20312806,0.007475967697265773
MC,Direct,52,16384,5.7458426007550685,0.13971240003593266,2,20312806,0.8294330060229491
MC,Bernoulli bridge,52,16384,4.87815775801149,0.13971240003593266,2,20312806,-0.038251836720629484
MC,Conditional weight,52,16384,4.873143645114398,0.13971240003593266,2,20312806,-0.04326594961772123
MC,Direct,52,65536,5.856754144052161,0.5809709000168368,2,20312806,0.9403445493200415
MC,Bernoulli bridge,52,65536,4.945388354154808,0.5809709000168368,2,20312806,0.028978759422688682
MC,Conditional weight,52,65536,4.940877228368692,0.5809709000168368,2,20312806,0.024467633636573005
MC,Direct,52,1024,5.541592647043865,0.008178099989891052,3,20312807,0.6251830523117459
MC,Bernoulli bridge,52,1024,4.655585014965904,0.008178099989891052,3,20312807,-0.260824579766215
MC,Conditional weight,52,1024,4.654822435959513,0.008178099989891052,3,20312807,-0.2615871587726062
MC,Direct,52,4096,5.6601546928365245,0.03248900000471622,3,20312807,0.7437450981044051
MC,Bernoulli bridge,52,4096,4.8126011012206895,0.03248900000471622,3,20312807,-0.10380849351142984
MC,Conditional weight,52,4096,4.751362350050483,0.03248900000471622,3,20312807,-0.16504724468163623
MC,Direct,52,16384,5.694220609081571,0.1418024000013247,3,20312807,0.7778110143494512
MC,Bernoulli bridge,52,16384,4.779284341125938,0.1418024000013247,3,20312807,-0.13712525360618155
MC,Conditional weight,52,16384,4.794551943918085,0.1418024000013247,3,20312807,-0.1218576508140341
MC,Direct,52,65536,5.775222982300489,0.5682825999101624,3,20312807,0.8588133875683699
MC,Bernoulli bridge,52,65536,4.854519607558461,0.5682825999101624,3,20312807,-0.061889987173658234
MC,Conditional weight,52,65536,4.860757484471712,0.5682825999101624,3,20312807,-0.055652110260407284
MC,Direct,104,1024,4.800562374335973,0.01870080002117902,0,20364804,-0.11584722039614626
MC,Bernoulli bridge,104,1024,4.229118779051858,0.01870080002117902,0,20364804,-0.6872908156802611
MC,Conditional weight,104,1024,4.181246167657102,0.01870080002117902,0,20364804,-0.7351634270750171
MC,Direct,104,4096,5.322947126397073,0.07173620001412928,0,20364804,0.406537531664954
MC,Bernoulli bridge,104,4096,4.72141402112034,0.07173620001412928,0,20364804,-0.194995573611779
MC,Conditional weight,104,4096,4.7207393045064645,0.07173620001412928,0,20364804,-0.19567029022565485
MC,Direct,104,16384,5.628598502396312,0.28620680002495646,0,20364804,0.712188907664193
MC,Bernoulli bridge,104,16384,4.9555766063424365,0.28620680002495646,0,20364804,0.039167011610317104
MC,Conditional weight,104,16384,4.955746138281591,0.28620680002495646,0,20364804,0.03933654354947169
MC,Direct,104,65536,5.559984935678403,1.172983800061047,0,20364804,0.6435753409462839
MC,Bernoulli bridge,104,65536,4.898895682985404,1.172983800061047,0,20364804,-0.01751391174671557
MC,Conditional weight,104,65536,4.891756206722711,1.172983800061047,0,20364804,-0.024653388009408417
MC,Direct,104,1024,5.922759034006357,0.017008600058034062,1,20364805,1.0063494392742376
MC,Bernoulli bridge,104,1024,5.2700859104666895,0.017008600058034062,1,20364805,0.35367631573457015
MC,Conditional weight,104,1024,5.269370880678164,0.017008600058034062,1,20364805,0.35296128594604426
MC,Direct,104,4096,5.8576290515413,0.07009179994929582,1,20364805,0.941219456809181
MC,Bernoulli bridge,104,4096,5.152140157835511,0.07009179994929582,1,20364805,0.2357305631033917
MC,Conditional weight,104,4096,5.1738215340158265,0.07009179994929582,1,20364805,0.2574119392837071
MC,Direct,104,16384,5.6004083579979165,0.28810410003643483,1,20364805,0.6839987632657971
MC,Bernoulli bridge,104,16384,4.909566489319632,0.28810410003643483,1,20364805,-0.00684310541248756
MC,Conditional weight,104,16384,4.922193771432849,0.28810410003643483,1,20364805,0.005784176700729837
MC,Direct,104,65536,5.599404783181479,1.2094936999492347,1,20364805,0.6829951884493592
MC,Bernoulli bridge,104,65536,4.930159454230225,1.2094936999492347,1,20364805,0.013749859498105366
MC,Conditional weight,104,65536,4.936078140969971,1.2094936999492347,1,20364805,0.019668546237851636
MC,Direct,104,1024,5.130663922761077,0.01607830007560551,2,20364806,0.21425432802895727
MC,Bernoulli bridge,104,1024,4.652114988109574,0.01607830007560551,2,20364806,-0.26429460662254556
MC,Conditional weight,104,1024,4.622233507693434,0.01607830007560551,2,20364806,-0.2941760870386849
MC,Direct,104,4096,5.76690777566468,0.06705589999910444,2,20364806,0.8504981809325605
MC,Bernoulli bridge,104,4096,5.116350905915613,0.06705589999910444,2,20364806,0.199941311183494
MC,Conditional weight,104,4096,5.121892696575551,0.06705589999910444,2,20364806,0.20548310184343155
MC,Direct,104,16384,5.6853715357057375,0.2719312000554055,2,20364806,0.7689619409736181
MC,Bernoulli bridge,104,16384,5.048296566340376,0.2719312000554055,2,20364806,0.1318869716082567
MC,Conditional weight,104,16384,5.052363911576506,0.2719312000554055,2,20364806,0.13595431684438708
MC,Direct,104,65536,5.66147002947677,1.236362800002098,2,20364806,0.7450604347446506
MC,Bernoulli bridge,104,65536,4.969594023269429,1.236362800002098,2,20364806,0.053184428537309536
MC,Conditional weight,104,65536,4.982440615865214,1.236362800002098,2,20364806,0.066031021133095
MC,Direct,104,1024,5.630113678406013,0.01824129989836365,3,20364807,0.7137040836738935
MC,Bernoulli bridge,104,1024,4.891540722744418,0.01824129989836365,3,20364807,-0.02486887198770127
MC,Conditional weight,104,1024,4.8670841665880005,0.01824129989836365,3,20364807,-0.04932542814411889
MC,Direct,104,4096,5.484115409849663,0.07639589998871088,3,20364807,0.5677058151175434
MC,Bernoulli bridge,104,4096,4.8109640425237785,0.07639589998871088,3,20364807,-0.10544555220834084
MC,Conditional weight,104,4096,4.785984635737872,0.07639589998871088,3,20364807,-0.13042495899424722
MC,Direct,104,16384,5.580948397004278,0.3080742999445647,3,20364807,0.6645388022721583
MC,Bernoulli bridge,104,16384,4.904172833907878,0.3080742999445647,3,20364807,-0.012236760824241522
MC,Conditional weight,104,16384,4.9069001890832435,0.3080742999445647,3,20364807,-0.009509405648875813
MC,Direct,104,65536,5.579296233632166,1.1708813000004739,3,20364807,0.662886638900047
MC,Bernoulli bridge,104,65536,4.910884729585822,1.1708813000004739,3,20364807,-0.005524865146297131
MC,Conditional weight,104,65536,4.912644286787272,1.1708813000004739,3,20364807,-0.003765307944846974
MC,Direct,252,1024,5.387393355035951,0.0516629999037832,0,20512804,0.4709837603038318
MC,Bernoulli bridge,252,1024,5.117490818976847,0.0516629999037832,0,20512804,0.20108122424472796
MC,Conditional weight,252,1024,5.03251738352291,0.0516629999037832,0,20512804,0.11610778879079042
MC,Direct,252,4096,5.486616737503287,0.1859148999210447,0,20512804,0.5702071427711672
MC,Bernoulli bridge,252,4096,5.1084894163663925,0.1859148999210447,0,20512804,0.19207982163427317
MC,Conditional weight,252,4096,5.074486525063105,0.1859148999210447,0,20512804,0.1580769303309859
MC,Direct,252,16384,5.335454226615712,0.730686099966988,0,20512804,0.419044631883593
MC,Bernoulli bridge,252,16384,4.945456849018311,0.730686099966988,0,20512804,0.029047254286191482
MC,Conditional weight,252,16384,4.912739384519945,0.730686099966988,0,20512804,-0.0036702102121743962
MC,Direct,252,65536,5.332754369681266,2.9101637999992818,0,20512804,0.41634477494914623
MC,Bernoulli bridge,252,65536,4.920911216524573,2.9101637999992818,0,20512804,0.004501621792453392
MC,Conditional weight,252,65536,4.909151394788398,2.9101637999992818,0,20512804,-0.007258199943721344
MC,Direct,252,1024,5.399027526266407,0.042776099988259375,1,20512805,0.48261793153428734
MC,Bernoulli bridge,252,1024,4.727456016812686,0.042776099988259375,1,20512805,-0.1889535779194338
MC,Conditional weight,252,1024,4.804695226274474,0.042776099988259375,1,20512805,-0.11171436845764493
MC,Direct,252,4096,5.547451275563998,0.17677629995159805,1,20512805,0.6310416808318786
MC,Bernoulli bridge,252,4096,5.0280565027064625,0.17677629995159805,1,20512805,0.11164690797434318
MC,Conditional weight,252,4096,5.040571752297256,0.17677629995159805,1,20512805,0.12416215756513704
MC,Direct,252,16384,5.356913794091116,0.6997841999400407,1,20512805,0.44050419935899665
MC,Bernoulli bridge,252,16384,4.93529121374185,0.6997841999400407,1,20512805,0.018881619009730954
MC,Conditional weight,252,16384,4.922781654262251,0.6997841999400407,1,20512805,0.006372059530131757
MC,Direct,252,65536,5.394325512438178,2.812450999976136,1,20512805,0.477915917706059
MC,Bernoulli bridge,252,65536,4.965448097666469,2.812450999976136,1,20512805,0.04903850293434964
MC,Conditional weight,252,65536,4.949527744232546,2.812450999976136,1,20512805,0.03311814950042624
MC,Direct,252,1024,5.215199505909858,0.041254800045862794,2,20512806,0.2987899111777388
MC,Bernoulli bridge,252,1024,4.692171960608118,0.041254800045862794,2,20512806,-0.22423763412400177
MC,Conditional weight,252,1024,4.739562281998056,0.041254800045862794,2,20512806,-0.17684731273406307
MC,Direct,252,4096,5.342634344532707,0.17257110006175935,2,20512806,0.42622474980058733
MC,Bernoulli bridge,252,4096,4.887988838896308,0.17257110006175935,2,20512806,-0.028420755835811384
MC,Conditional weight,252,4096,4.909151332749953,0.17257110006175935,2,20512806,-0.007258261982165948
MC,Direct,252,16384,5.318766654083395,0.7120977999875322,2,20512806,0.4023570593512753
MC,Bernoulli bridge,252,16384,4.87938077314836,0.7120977999875322,2,20512806,-0.03702882158375953
MC,Conditional weight,252,16384,4.8807384355147985,0.7120977999875322,2,20512806,-0.03567115921732089
MC,Direct,252,65536,5.419587266913871,2.8779134999495,2,20512806,0.503177672181752
MC,Bernoulli bridge,252,65536,4.984837254573472,2.8779134999495,2,20512806,0.0684276598413529
MC,Conditional weight,252,65536,4.984839510662595,2.8779134999495,2,20512806,0.06842991593047554
MC,Direct,252,1024,5.134856217782795,0.04415789991617203,3,20512807,0.21844662305067608
MC,Bernoulli bridge,252,1024,4.692535656529278,0.04415789991617203,3,20512807,-0.22387393820284096
MC,Conditional weight,252,1024,4.716248325874394,0.04415789991617203,3,20512807,-0.200161268857725
MC,Direct,252,4096,5.426297146898105,0.17180989996995777,3,20512807,0.5098875521659858
MC,Bernoulli bridge,252,4096,4.961937549940563,0.17180989996995777,3,20512807,0.04552795520844377
MC,Conditional weight,252,4096,4.962160868247015,0.17180989996995777,3,20512807,0.045751273514895274
MC,Direct,252,16384,5.4302827893604135,0.7118715000106022,3,20512807,0.5138731946282942
MC,Bernoulli bridge,252,16384,4.963252717572602,0.7118715000106022,3,20512807,0.04684312284048264
MC,Conditional weight,252,16384,4.979563049283648,0.7118715000106022,3,20512807,0.06315345455152865
MC,Direct,252,65536,5.376312532631562,2.872631200007163,3,20512807,0.45990293789944303
MC,Bernoulli bridge,252,65536,4.923435548792068,2.872631200007163,3,20512807,0.00702595405994888
MC,Conditional weight,252,65536,4.931265050754989,2.872631200007163,3,20512807,0.014855456022869973
MC,Direct,504,1024,5.98738626517372,0.08798269997350872,0,20764804,1.0709766704416008
MC,Bernoulli bridge,504,1024,5.7529992136910195,0.08798269997350872,0,20764804,0.8365896189589002
MC,Conditional weight,504,1024,5.733207386658766,0.08798269997350872,0,20764804,0.8167977919266463
MC,Direct,504,4096,5.250201536330247,0.36316189996432513,0,20764804,0.3337919415981281
MC,Bernoulli bridge,504,4096,4.8821849648129145,0.36316189996432513,0,20764804,-0.03422462991920483
MC,Conditional weight,504,4096,4.894069930686584,0.36316189996432513,0,20764804,-0.022339664045535557
MC,Direct,504,16384,5.208866392564252,1.4048756000120193,0,20764804,0.2924567978321324
MC,Bernoulli bridge,504,16384,4.874118633978959,1.4048756000120193,0,20764804,-0.04229096075316008
MC,Conditional weight,504,16384,4.894332557022837,1.4048756000120193,0,20764804,-0.022077037709282266
MC,Direct,504,65536,5.203478309332745,5.649894999922253,0,20764804,0.28706871460062544
MC,Bernoulli bridge,504,65536,4.884491630540204,5.649894999922253,0,20764804,-0.031917964191915615
MC,Conditional weight,504,65536,4.893135640601707,5.649894999922253,0,20764804,-0.023273954130412555
MC,Direct,504,1024,5.07895011865171,0.0891888999613002,1,20764805,0.16254052391959029
MC,Bernoulli bridge,504,1024,4.807554715726884,0.0891888999613002,1,20764805,-0.10885487900523572
MC,Conditional weight,504,1024,4.79810092943011,0.0891888999613002,1,20764805,-0.11830866530200979
MC,Direct,504,4096,5.286782597033751,0.3599001000402495,1,20764805,0.3703730023016316
MC,Bernoulli bridge,504,4096,5.046182258182186,0.3599001000402495,1,20764805,0.12977266345006644
MC,Conditional weight,504,4096,5.009103262993381,0.3599001000402495,1,20764805,0.09269366826126202
MC,Direct,504,16384,5.292089366189423,1.4128338999580592,1,20764805,0.37567977145730325
MC,Bernoulli bridge,504,16384,4.9597776784784315,1.4128338999580592,1,20764805,0.04336808374631218
MC,Conditional weight,504,16384,4.969272639554952,1.4128338999580592,1,20764805,0.05286304482283288
MC,Direct,504,65536,5.272172386226061,5.884859999991022,1,20764805,0.35576279149394185
MC,Bernoulli bridge,504,65536,4.9497055580851,5.884859999991022,1,20764805,0.03329596335298035
MC,Conditional weight,504,65536,4.9479392984798425,5.884859999991022,1,20764805,0.031529703747723126
MC,Direct,504,1024,5.3816382343801425,0.0869731999700889,2,20764806,0.4652286396480232
MC,Bernoulli bridge,504,1024,4.964507613235572,0.0869731999700889,2,20764806,0.04809801850345252
MC,Conditional weight,504,1024,5.010565078368424,0.0869731999700889,2,20764806,0.09415548363630499
MC,Direct,504,4096,5.209041556577873,0.35183199995663017,2,20764806,0.29263196184575335
MC,Bernoulli bridge,504,4096,4.92764900194229,0.35183199995663017,2,20764806,0.011239407210170249
MC,Conditional weight,504,4096,4.932452346026212,0.35183199995663017,2,20764806,0.016042751294092383
MC,Direct,504,16384,5.2056079170418235,1.4397308999905363,2,20764806,0.2891983223097041
MC,Bernoulli bridge,504,16384,4.901558180045184,1.4397308999905363,2,20764806,-0.014851414686935627
MC,Conditional weight,504,16384,4.887708265881522,1.4397308999905363,2,20764806,-0.028701328850597285
MC,Direct,504,65536,5.270546856667353,5.804280000040308,2,20764806,0.3541372619352332
MC,Bernoulli bridge,504,65536,4.968803794824511,5.804280000040308,2,20764806,0.05239420009239204
MC,Conditional weight,504,65536,4.964118156370229,5.804280000040308,2,20764806,0.04770856163810944
MC,Direct,504,1024,5.595139588751156,0.0888061000732705,3,20764807,0.6787299940190366
